From,To
P08476,INHBA
P08506,dacC
P08514,ITGA2B
P08571,CD14
P08572,COL4A2
P08581,MET
P08588,ADRB1
P08590,MYL3
P08631,HCK
P08648,ITGA5
P08670,VIM
P08684,CYP3A4
P08842,STS
P08887,IL6R
P08908,HTR1A
P08912,CHRM5
P08913,ADRA2A
P09038,FGF2
P09211,GSTP1
P09237,MMP7
P09619,PDGFRB
P09693,CD3G
P09769,FGR
P09874,PARP1
P09884,POLA1
P09917,ALOX5
P0A0F4,rplK
P0A0F8,rplO
P0A0G2,rpmD
P0A0H0,rpsL
P0A0K8,gyrB
P0A472,rplL
P0A474,rplN
P0A476,rplP
P0A484,rpmC
P0A496,rpmJ
P0A4A8,rpsL
P0A4B4,rpsQ
P0A4B6,rpsS
P0A4C4,rpsC
P0A4L9,gyrB
P0A749,murA
P0A7J3,rplJ
P0A7J7,rplK
P0A7K2,rplL
P0A7K6,rplS
P0A7L0,rplA
P0A7L3,rplT
P0A7L8,rpmA
P0A7M2,rpmB
P0A7M6,rpmC
P0A7M9,rpmE
P0A7N1,ykgM
P0A7N4,rpmF
P0A7N9,rpmG
P0A7P5,rpmH
P0A7Q1,rpmI
P0A7Q6,rpmJ
P0A7R5,rpsJ
P0A7R9,rpsK
P0A7S3,rpsL
P0A7S9,rpsM
P0A7T3,rpsP
P0A7T7,rpsR
P0A7U3,rpsS
P0A7U7,rpsT
P0A7V0,rpsB
P0A7V3,rpsC
P0A7V8,rpsD
P0A7W1,rpsE
P0A7W7,rpsH
P0A7X3,rpsI
P0A7Z4,rpoA
P0A800,rpoZ
P0A8T7,rpoC
P0A8V2,rpoB
P0AA10,rplM
P0ABQ4,folA
P0AC13,folP
P0AD65,mrdA
P0AD68,ftsI
P0ADY3,rplN
P0ADY7,rplP
P0ADZ0,rplW
P0ADZ4,rpsO
P0AEB2,dacA
P0AEK4,fabI
P0AES4,gyrA
P0AES6,gyrB
P0AFI2,parC
P0AG44,rplQ
P0AG48,rplU
P0AG51,rpmD
P0AG55,rplF
P0AG59,rpsN
P0AG63,rpsQ
P0AG67,rpsA
P0C018,rplR
P0C0D4,rplV
P0C0D6,rplD
P0C0X1,folP1
P0C1S7,parE
P0C1U9,parC
P0CS13,TMP1
P0DJD9,PGA5
P0DMS8,ADORA3
P10092,CALCB
P10145,CXCL8
P10185,gL
P10211,gB
P10228,gC
P10253,GAA
P10275,AR
P10276,RARA
P10398,ARAF
P10415,BCL2
P10451,SPP1
P10600,TGFB3
P10613,ERG11
P10721,KIT
P10826,RARB
P10827,THRA
P10828,THRB
P10912,GHR
P10916,MYL2
P11047,LAMC1
P11142,HSPA8
P11215,ITGAM
P11229,CHRM1
P11230,CHRNB1
P11274,BCR
P11309,PIM1
P11362,FGFR1
P11387,TOP1
P11388,TOP2A
P11473,VDR
P11511,CYP19A1
P11597,CETP
P11802,CDK4
P11836,MS4A1
P11926,ODC1
P12107,COL11A1
P12109,COL6A1
